date,value
2015-01-31,52.483570765056164
2015-02-28,55.149014628597854
2015-03-31,63.579368997255415
2015-04-30,70.13615768540147
2015-05-31,60.85083170204284
2015-06-30,58.030995887523005
2015-07-31,62.93808088425964
2015-08-31,54.719526586941015
2015-09-30,45.71506310811111
2015-10-31,50.27582542801386
2015-11-30,47.42601884263112
2015-12-31,51.91504871114031
2016-01-31,61.29384497127555
2016-02-29,56.35796852461017
2016-03-31,61.80037075763216
2016-04-30,69.79360437060186
2016-05-31,67.04147658743278
2016-06-30,70.85695094869067
2016-07-31,60.58593004256201
2016-08-31,53.90486804794539
2016-09-30,65.47471249583901
2016-10-31,56.51817732109674
2016-11-30,60.16478194357843
2016-12-31,57.203990161369695
2017-01-31,67.44615360426484
2017-02-28,76.56301630989387
2017-03-31,74.75402564653119
2017-04-30,84.56756572198047
2017-05-31,79.18647235295624
2017-06-30,77.91127915019328
2017-07-31,72.20155097246645
2017-08-31,80.31181109061193
2017-09-30,68.16301614098695
2017-10-31,62.44253779219529
2017-11-30,74.02389909410013
2017-12-31,68.30754645602724
2018-01-31,81.29641881535991
2018-02-28,76.29408635539104
2018-03-31,83.95209690259593
2018-04-30,93.7574154230431
2018-05-31,95.96603231597268
2018-06-30,90.3106229185549
2018-07-31,84.71587623511762
2018-08-31,79.62893530356617
2018-09-30,70.92192592628487
2018-10-31,74.21590500844661
2018-11-30,77.69201429223064
2018-12-31,89.78140945042232
2019-01-31,92.05422590162382
2019-02-28,87.36126981142164
2019-03-31,102.29748060750742
2019-04-30,100.93173145506128
2019-05-31,98.97312302791123
2019-06-30,102.59619657025476
2019-07-31,100.53314887298397
2019-08-31,95.87488799053897
2019-09-30,84.2024818754542
2019-10-31,86.35309778460947
2019-11-30,91.73555891749277
2019-12-31,99.45755756838491
2020-01-31,98.02429687800043
2020-02-29,105.33220931836159
2020-03-31,105.22941950394869
2020-04-30,106.96014335018488
2020-05-31,116.5043957548574
2020-06-30,116.4030488823499
2020-07-31,105.10213426604791
2020-08-31,106.32018549786348
2020-09-30,100.29078323025092
2020-10-31,94.75759450428531
2020-11-30,101.9702534014624
2020-12-31,112.35404837854833
2021-01-31,110.3250714851225
2021-02-28,124.16775609419608
2021-03-31,107.7464024669755
2021-04-30,127.13472260590973
2021-05-31,122.96103559752264
2021-06-30,118.21084560061183
2021-07-31,116.00502237007247
2021-08-31,101.44871004884428
2021-09-30,107.46827727927058
2021-10-31,109.85278974831503
2021-11-30,117.63677921107328
2021-12-31,112.15654806829563
2022-01-31,116.54576727965171
2022-02-28,123.91978621064875
2022-03-31,135.50617218937998
2022-04-30,134.7529992457774
2022-05-31,129.96103285094196
2022-06-30,132.35625313195334
2022-07-31,126.11563984758054
2022-08-31,126.31381318795856
2022-09-30,115.14040486251675
2022-10-31,116.51294977121283
2022-11-30,118.3708018351503
2022-12-31,117.51435803244867
2023-01-31,132.1528702928859
2023-02-28,137.81788140291624
2023-03-31,141.0387624975273
2023-04-30,142.02034164404864
2023-05-31,135.61701377297047
2023-06-30,137.77072296600514
2023-07-31,134.00071313165188
2023-08-31,127.54323550263139
2023-09-30,127.92827538701884
2023-10-31,130.25554840171975
2023-11-30,139.8463057203091
2023-12-31,135.7888554507138
2024-01-31,142.04405447462224
2024-02-29,146.22440907663136
2024-03-31,141.50337275126515
2024-04-30,153.14474154712366
2024-05-31,153.07905214637307
2024-06-30,162.27419375570372
2024-07-31,144.83651450382547
2024-08-31,143.14639217385295
2024-09-30,138.64517871026806
2024-10-31,132.47593754299479
2024-11-30,146.21352390027695
2024-12-31,148.75966516343388
